"Name","Live Bytes","Live Objects"
"sun.swing.SwingUtilities2$$Lambda$624.0x000000010078c040","225,480 B (0.1%)","9,395 (0.3%)"
"java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry","221,728 B (0.1%)","6,929 (0.2%)"
"sun.awt.EventQueueItem","200,016 B (0.1%)","8,334 (0.3%)"
"boolean[]","198,992 B (0.1%)","669 (0%)"
"java.io.ObjectStreamClass","193,232 B (0.1%)","1,858 (0.1%)"
"java.util.concurrent.ConcurrentHashMap","192,960 B (0.1%)","3,015 (0.1%)"
"java.io.SerialCallbackContext","187,608 B (0.1%)","7,817 (0.2%)"
"com.intellij.util.Alarm$Request","179,840 B (0.1%)","4,496 (0.1%)"
"java.lang.invoke.ResolvedMethodName","173,208 B (0.1%)","7,217 (0.2%)"
"com.intellij.ui.scale.ScaleContext","170,112 B (0.1%)","3,544 (0.1%)"
"java.util.LinkedHashMap$LinkedKeyIterator","169,344 B (0.1%)","5,292 (0.2%)"
"java.awt.event.ActionEvent","167,856 B (0.1%)","3,497 (0.1%)"
"javax.management.openmbean.CompositeDataSupport","162,792 B (0.1%)","6,783 (0.2%)"
"javax.management.openmbean.CompositeData[]","161,024 B (0.1%)","8,144 (0.2%)"
"java.lang.Thread[]","159,272 B (0.1%)","6,186 (0.2%)"
"com.intellij.openapi.vfs.newvfs.impl.VfsData$DirectoryData","157,368 B (0.1%)","6,557 (0.2%)"
"org.jetbrains.plugins.textmate.language.syntax.SyntaxRuleProxyDescriptor","155,424 B (0.1%)","6,476 (0.2%)"
"io.netty.util.internal.shaded.org.jctools.queues.MpscArrayQueue","153,504 B (0.1%)","234 (0%)"
"java.lang.invoke.DirectMethodHandle","150,944 B (0.1%)","4,717 (0.1%)"
"sun.swing.SwingUtilities2$KeyArray","150,352 B (0.1%)","9,397 (0.3%)"
"org.owasp.html.Trie[]","147,392 B (0.1%)","5,923 (0.2%)"
"java.awt.EventQueue$4","146,640 B (0.1%)","6,110 (0.2%)"
"com.intellij.openapi.extensions.impl.XmlExtensionAdapter","145,600 B (0.1%)","3,640 (0.1%)"
"sun.awt.X11.XAnyEvent","145,408 B (0.1%)","4,544 (0.1%)"
"com.intellij.util.containers.hash.LinkedHashMap$Entry[]","142,320 B (0.1%)","1,186 (0%)"
